alt-low                     alt-high                    press                       temp                        O3                          H2O                         CO2                         CH4                         O2                          CO                          N2                          
3.400000000000000e+01       3.450000000000000e+01       6.545191564769334e-03       2.000000000000000e+02       7.137744054547499e-06       4.770723502584904e-06       3.608410882714191e-04       6.155639966266471e-07       2.099286773128013e-01       1.303865273286746e-08       7.896979445287208e-01       
3.450000000000000e+01       3.500000000000000e+01       6.091580017422460e-03       2.000000000000000e+02       7.049186926618376e-06       4.834508709729121e-06       3.608501914147159e-04       5.884839289159823e-07       2.099264121529709e-01       1.295693780742884e-08       7.897002525191112e-01       
3.500000000000000e+01       3.550000000000000e+01       5.671858550501534e-03       2.000000000000000e+02       6.951500630291638e-06       4.897601543485145e-06       3.608583546316087e-04       5.618224325329275e-07       2.099240927922688e-01       1.286591980205171e-08       7.897026250625734e-01       
3.550000000000000e+01       3.600000000000000e+01       5.283314420991185e-03       2.000000000000000e+02       6.846665836929452e-06       4.959537321782286e-06       3.608654926974796e-04       5.357692770009217e-07       2.099217300278521e-01       1.276396019414040e-08       7.897050497430544e-01       
3.600000000000000e+01       3.650000000000000e+01       4.923466299216871e-03       2.000000000000000e+02       6.736424237365112e-06       5.019623325769868e-06       3.608715159357795e-04       5.106071327050858e-07       2.099193468648008e-01       1.265082142723053e-08       7.897075023137462e-01       
3.650000000000000e+01       3.700000000000000e+01       4.590043321716125e-03       2.000000000000000e+02       6.621059510817165e-06       5.077866670895534e-06       3.608764252837537e-04       4.863226035564583e-07       2.099169411130656e-01       1.252547986604936e-08       7.897099846873855e-01       
3.700000000000000e+01       3.750000000000000e+01       4.280966185253867e-03       2.000000000000000e+02       6.500238054472472e-06       5.134541925729054e-06       3.608802392467431e-04       4.627912245656942e-07       2.099144990832504e-01       1.238642343386915e-08       7.897125107198747e-01       
3.750000000000000e+01       3.800000000000000e+01       3.994329968996571e-03       2.000000000000000e+02       6.373888866612642e-06       5.189743057566235e-06       3.608829519576133e-04       4.399648490870800e-07       2.099120136731653e-01       1.223275976227547e-08       7.897150875453440e-01       
3.800000000000000e+01       3.850000000000000e+01       3.728388635019801e-03       2.000000000000000e+02       6.241948024331780e-06       5.243540604533715e-06       3.608845493476140e-04       4.178055966517301e-07       2.099094781226771e-01       1.206407678846627e-08       7.897177219696729e-01       
3.850000000000000e+01       3.900000000000000e+01       3.481540960290159e-03       2.000000000000000e+02       6.105036431029137e-06       5.295694348572230e-06       3.608850071538867e-04       3.964035901544616e-07       2.099069004029828e-01       1.188159882265671e-08       7.897204055738947e-01       
3.900000000000000e+01       3.950000000000000e+01       3.252317791368579e-03       2.000000000000000e+02       5.964372364748793e-06       5.345823650321121e-06       3.608843151085466e-04       3.759052970433267e-07       2.099042969934317e-01       1.168787214972910e-08       7.897231209022755e-01       
3.950000000000000e+01       4.000000000000000e+01       3.039370481601287e-03       2.000000000000000e+02       5.820716311955643e-06       5.393963245685399e-06       3.608824710126053e-04       3.562862105594291e-07       2.099016634293461e-01       1.148436265644970e-08       7.897258716495105e-01       
4.000000000000000e+01       4.050000000000000e+01       2.841460402666667e-03       2.000000000000000e+02       5.674826141719987e-06       5.440294458581486e-06       3.608794581529593e-04       3.374624672976863e-07       2.098989854896788e-01       1.127210444253677e-08       7.897286711969962e-01       
4.050000000000000e+01       4.100000000000000e+01       2.657449438135891e-03       2.000000000000000e+02       5.527820304571726e-06       5.484879586846319e-06       3.608752527851826e-04       3.193991800197766e-07       2.098962540566447e-01       1.105292980433756e-08       7.897315275385689e-01       
4.100000000000000e+01       4.150000000000000e+01       2.486291301589711e-03       2.000000000000000e+02       5.380659287976864e-06       5.527759355811489e-06       3.608698242830304e-04       3.020704296826505e-07       2.098934605996669e-01       1.082915039215716e-08       7.897344482578262e-01       
4.150000000000000e+01       4.200000000000000e+01       2.327023683668426e-03       2.000000000000000e+02       5.234348594851475e-06       5.568791387290325e-06       3.608631635803831e-04       2.855242680809988e-07       2.098906092358724e-01       1.060447119111230e-08       7.897374283318257e-01       
4.200000000000000e+01       4.250000000000000e+01       2.178761106638554e-03       2.000000000000000e+02       5.089628205638054e-06       5.607757558495311e-06       3.608552899768444e-04       2.698389286903774e-07       2.098877122249322e-01       1.038337236108897e-08       7.897404548770258e-01       
4.250000000000000e+01       4.300000000000000e+01       2.040688404271318e-03       2.000000000000000e+02       4.946562809595921e-06       5.644549335438907e-06       3.608462232134328e-04       2.550483499763203e-07       2.098847769800735e-01       1.016975450185048e-08       7.897435204664636e-01       
